none,Teacher,Class,Reviewer,Date,Difficulty,Test,Report,Attendance,Comments
,橘由加,英語B,,2019年09月29日,並,,なし,なし,教授がどこからか引っ張ってきた話題に対する考えを英語で書くことをよく要求される。授業では一人ずつ英文を読ませたりすることも。また、思いつきで課題を出したりするため、やってきても意味が無いということが稀にある。また、毎週やらなければならないLincEnglishが超負担になる。これさえ我慢できれば好成績を取るのはかなり楽なので上級生に人気らしい。テストは今までやってきたLincEnglishからランダムに出される。
,福泉,数理統計学,,2019年09月29日,やや仏,,あり,あり,ど鬼で有名なこの方、この授業に関しては仏でした。毎授業終わりにその日の確認テストあるけどそれの答えは教えてくれちゃうし、中間試験ないし、期末はレポートでそのやり方を手取り足取り教えてくれるし。けど評価はきつめでしょう
,池尾 恭一,哲学倫理学,,2019年09月29日,ど仏,,なし,なし,まじでテスト以外でなくてもA以上が取れる。テストは授業中に紹介した哲学者の書いた著書について適当な字数で述べるというもので持ち込みありなので事前に書いてそれを写すだけ
,曽我 洋介,日本国憲法,,2019年09月29日,仏,,時々あり,なし,毎回の授業は話を聞くだけ。テストは例年通りある事例について論述する形式で、先生が解説してくれるのでそれに沿って書けば平気
,シャーロン ベン,英語C1,,2019年09月29日,並,,なし,あり,本読んできて、それの内容を英語で要約するのが毎週の宿題で、授業中はそれをペアで読み合うという授業。いい評価をとるには相当な量の本を読まなければならないが、そこそこの評価でいいならそんなに負担になるものでもない
,渡邉高志,システム制御工学A,,2019年09月28日,鬼,,あり,,早口で聞き取りにくい 板書スライドが切り替わるのも早い そして試験はかなり厳しく再試験者は毎年多い
,佐藤智子,学習理論入門,,2019年09月27日,鬼,,あり,あり,授業中はグループディスカッション。毎回予習が必要で、予習内容を提出する。2019年度から方針が変わっており、レポートをガンガン書かせる授業になった。3週間おき位で上限2000字のレポートが課されるが、教育に関するやや専門的な内容を扱う上に評価はシビアである。授業を受けるうちにアカデミックライティングの基礎が身についてくるので、為にはなるし一定の評価も得られるが、当該セメスターで授業を多く取る人にはおすすめできない。
,福村 知昭,化学A,,2019年09月27日,仏,,なし,あり,毎回講義形式で進め、最後に期末テストを行う。講師の口下手で内容の把握が困難であるため、教科書の購入等を勧める。期末テストは範囲が広くて手をつけづらいが、当日までに過去問を暗記できるほど解けば、AAは堅い。
,妙木 忍,英語A1,,2019年09月27日,ど鬼,,なし,あり,初回授業でグループ分けされる。グループごとに当てられて、該当箇所の要約(和訳)を読み上げていくだけの虚無な授業。発表のためのdiscussionの時間があるのだが、何も話すことが無いので虚無。出席態度もちゃんと見ているらしく、関係のない話をずっとdiscussionの時にしてきた班は全員がB評価だった。
,遠藤スサンネ,基礎ドイツ語,,2019年09月26日,ど仏,,なし,あり,日本語ペラペラのスイス人の先生。最初は紙を見ながら出席をとったりするものの、直ぐに学生全員の顔と名前を覚えてくれるので、目に見えるような出席はとらなくなる。授業時間外でもフランクに話しかけてくれる他、日本各地の文化についてもかなり博識。2、3回に一回のペースで授業中に当てられたりするが、普通に聞いていれば充分解けるレベル。テストは厳しく採点されるが、間違えた箇所についてのフォローアップも欠かさず、単位もくれるその姿はまさに聖人の如し。
,木村 邦博,行動科学概論,,2019年09月25日,ど鬼,,なし,なし,人としても教員としても非常に評判が悪い授業もわかりづらく、テストが難しい
,大渕憲一,社会心理学,,2019年09月25日,やや鬼,,なし,あり,授業のレベルはとても低い。テストのレベルも低く多くの者が満点だが、AAは心理学科の生徒じゃないと取れない。かなり不公平。自身の成績の付け方は雑だが、出席は厳しく代返するとすぐバレ、彼のせいで毎セメスターに数人は文学部から厳重注意を受ける
,エンスレン,英語B,,2019年09月25日,仏,,なし,あり,授業は、課題を予習で読んで質問形式のプリントを埋めてきたものを元に3人1組のディスカッション。出席して毎回のプリントさえ提出すれば単位は貰える。提出も何回かは忘れても大丈夫(多すぎは禁物)。良い評価はこれに加え、彼の前である程度英語を頑張って話してる素振りを見せれば大丈夫。彼自身面白く、楽だったので仏。
,亀岡 絵理子,会計学入門,,2019年09月25日,鬼,,なし,時々あり,数年後この人の会計学入門に当たってしまった経済学徒初学者は、なんとかラクして単位浮かそうなんて考えないでください。ベヨネッタ似の女教師さんが成績の約90%を決める期末テストで痛~くシゴいてくれます。(残約り10%は出席点。確実に浮きたいならこの10%をナメずに掴み取れ。)テスト内容は、一夜漬けでなんとかなる範囲でもなく、着実に勉強してきた人でも素点90点以上は至難の業ってくらい難易度高めです。僕の場合、欠席は1回のみ、かつ一夜漬けで勉強した部分の8割が運良く出題されたので、総点70(=Bの底辺)をかろうじて取り、浮きました。(運が良くてBの底辺ってのが重要。)また、授業で扱った日商簿記検定3級ベースの問題構成ですが、検定とは違った難しさがあると思われます。そして、期末テスト問題は回収するという何とも無慈悲なことをするので、過去問の遺産を残せません。ごめんね後輩。
,山内玲,英語A,,2019年09月25日,ど鬼,,なし,あり,今、この鬼仏表を見ているそこの君。最初は授業のあまりの厳しさについて行けなくなり、「2セメで再履修すればいいや」と放棄したくなるかもしれない。だが、そこで諦めるのは未だ早いのだ。ほぼ毎回実施される小テストでどれだけ酷い点数を取っても、提出課題が殆ど評価されなくても、ひたすら真面目に足掻き続けろ。そうすれば一部の「もういいや」と匙を投げた連中の相対評価で、C浮きの希望が見えてくる。
,勝間田弘,法・政治と社会,,2019年09月24日,ど仏,,なし,時々あり,①全ての授業に参加する②レジュメの余白に教授の話を出来るだけ色々メモしておく③レジュメを見て、テスト前に2時間勉強するテストは中間50点と期末50点の2回に分けてありますが、この3つを頑張るだけで余裕でAA浮きします。レジュメだけ貰って、教授の話を一切聞いていない人は一応死にます。授業内容自体は(特に文系の世界史選択者には)とても面白いので、優先して受けることをお勧めしたい。
,アイコースト,英語B1,,2019年09月24日,ど仏,,あり,,宿題は毎回あって大変だったけどまじ楽しかったテストは無いし英語ガバガバでも頑張って話してりゃAA貰える
,ローツ・マイア,基礎ゼミ,,2019年09月24日,ど仏,,なし,あり,とにかく先生が可愛い。優しい。とても日本語を話すのは上手なのに書くのは苦手なのが可愛い。基本的に数人でディスカッション形式。最終的に個人パワポ発表で、途中経過を提出するがそこまで大変ではない。内容に興味があれば、ぜひとることをオススメする。
,松河秀哉,人間と文化,,2019年09月24日,仏,,あり,あり,毎回A4の紙が配られてその日の授業についての感想意見を書く、長めのミニぺみたいなもの。出席してそこそこ長めにミニぺ書いておけば浮く。期末レポートは2000字程度でとても優しい。AAとれる。
,横溝,日本文学概論,,2019年09月23日,並,,あり,あり,穏やかな先生で、可愛いおじさん。ただし眠い。レポートはまあまあ普通の難易度だろうか。
,仁平,日本文学基礎購読,,2019年09月23日,並,,あり,あり,川端の短編小説についての発表とレポートがあったが、正直発表はしんどい。まだ発表慣れしていない学部2年には苦痛。しかし先生のフォローは優しいし、内容自体はおもしろかった、単位もくれた。
,山田,宗教学概論,,2019年09月23日,やや仏,,あり,あり,雑多な話が多くて楽しい。生きる上で身になる内容だった。レポートは多少は苦労するがまあ並であろう。楽しさから仏をプラスした。
,矢田,中国文学概論,,2019年09月23日,仏,,なし,あり,面白かったし優しかった。テストはかなり簡単だった。高校の時に漢文が好きだった人にはおすすめである。そうでなくてもそれなりに楽しい講義だと思う。
,斎藤倫明,日本学概論,,2019年09月23日,並,,なし,あり,眠かった。講義としては可もなく不可もなく。しかしスマホ仕様がバレるとこっぴどく叱られるので気をつけよう。単位はくれる。
,斎藤倫明,,,2019年09月23日,,,,,
,西村,インド学,,2019年09月23日,やや仏,,あり,なし,講義の内容一回分をレポートに使うため、基本的に楽である。ただ問題は、めちゃくちゃ眠い、これに尽きる。レポートのために一回をまともに聞くことすら難しい眠気。しかし西村教授は坂を自転車で突っ走っていて転んで講義を一回休むという愛すべき人でもある。きっと彼女の魅力に気がつけば楽しく学べるだろう。私には無理だった。
,堀　他,日本史概論,,2019年09月23日,並,,なし,あり,オムニバス形式で、3回ずつ別々の教授が講義を行った。ほどほどに楽だが、睡魔との戦いでもあった。たまに面白い講義もあり、どれか一回の内容がわかっていればテストも良かったので、気に入ったものをしっかり聞いておけば大丈夫であるとおもわれる。
,大野,東洋史概論,,2019年09月23日,仏,,あり,時々あり,全体的に講義自体が楽しい。期末レポートはあるがそれほど難しくなく、講義に出てさえいれば書ける内容だった。出席はたまに取られるのと、レポートの説明をされる日はレポートの表紙も配られたので出席必須だったこともあり、講義に出ること自体は必要である。
,川口,文化人類学基礎演習,,2019年09月23日,やや鬼,,あり,なし,内容はめちゃくちゃ面白い、ためになる学びという感じ。しかし期末レポートの一万字が地獄だった。レポートさえ頑張れば、楽しいし単位もちゃんとくれる。やる気があればおすすめの講義である。
,池尾,西洋倫理,,2019年09月22日,,,,,
,渡邉高志,システム制御工学A,,2019年09月21日,ど仏,,,,渡邉教授は神！こんなにいい人いないよ？鬼って言ってる人は努力不足渡邉教授に一生ついていきます！
,井本（オムニバス）,教職論,,2019年09月19日,並,,あり,あり,木2の方。県内の小中高、支援学校の校長先生が3回ずつ講義を行う。各先生の持ち点は100点で、総和（つまり500点満点）を5で割ったものが評価となる。評価基準はまちまちだが、基本出席は毎回取られ、レポートは1回以上はある。手書き指定のものもあった。筆者は1回休んでB。どうやら集中講義の教職論ではレポートを出せばB以上が確定だったらしいので、毎回の労力を考えるとそちらの方が良いのかもしれない……あとTAさんが可愛かった。
,スクラ,,,2019年09月11日,ど鬼,,,,
,鄭英,基礎中国語,,2019年09月08日,ど仏,,なし,あり,ど仏。仏通り越すレベル。期末テスト0点でも補講やってくれて単位もらえた人とかいる。しかも授業が面白くてわかりやすく、真面目にやってる人も中国語をきちんとそこそこ高いレベルで習得できる。いろんなレベルの人に対して神。。
,渡邉高志,システム制御工学A,,2019年09月08日,ど鬼,,,,まさに情物電子系における鬼門
,三浦,材力Ⅰ,,2019年09月06日,並,,あり,あり,レポートが毎回だされるので結構めんどくさい。しかし、授業はわかりやすい。答えが配布されないのでテスト勉強のときに困ったが、聞けば答えてくれるので積極的にききにいったほうがよい。成績が9月になるまででなかった。
,遊佐,数学Ⅱ,,2019年09月06日,仏,,時々あり,なし,とにかく特殊。テストでは数学なのに計算問題の配点は低く記述問題の配点がたかい。授業をちゃんと聞いてれば解けるが聞いてないと何を答えればいいのかすらわからないので授業はちゃんとでましょう
,渡邉高志,システム制御工学A,,2019年09月04日,ど鬼,,あり,なし,講義もさることながら評定も鬼早口でまくしたてるから何言ってるかわからん
,木村敏明 ,世界の宗教文化,,2019年09月04日,仏,,なし,あり,授業内容面白い、テストは簡単と非常に良い講座。内容面白いのに次の講義の英語の内職に充ててしまったのが悔やまれるほど。授業中映像観たりすることも多くとても楽しい。しかし合わない人は遅刻が常習になる&後半になるにつれてどんどん人が減る傾向がある気がする。テスト前には「これを出す」と確実に点が取れるようにましてくれている。指定の参考書内で授業中に触れたものを復習しておけばA浮きする。
,高橋禎雄,概説東北大学史,,2019年09月04日,並,,なし,あり,鬼仏表で軒並み鬼評価だったので興味本位で受けたもののそこまで厳しくない講義だった。月曜の1限なので朝は辛いが慣れれば大丈夫。また教授が遅刻を親の仇の如く嫌悪している(一度40分遅刻した学生がやってきた時笑顔が一瞬にして消えた。怖かった。)過去の鬼仏評価を見てもらった方が授業内容は分かりやすいと思う(ミニペについてなど)教授の地元と同じ地元だと授業中めっちゃ話す、てかその学生のことばかり指す印象。しかし楽しそうだったので問題なし。所謂、「授業など欠席せず真面目にしてるのにいつもいい評価がもらえない」タイプの人間にはオススメ。おかげで私は英語はゴミクソだったがこの講義はAA浮きした。因みにテストは全配布物持ち込み可なので、前日の夜にさらっと読んでおけば楽になる。
,邑本,心理学,,2019年09月03日,仏,,なし,あり,3回テストがありました。テスト当日の朝に30分プリントを凝視するだけで、テストは90点以上取れます。授業も面白いしオススメの授業。
,関根勉,化学B,,2019年09月03日,仏,,なし,なし,ほぼ毎回課題があったのはだるかったけど、テストで大問5つ中1つか2つぐらいしか出来てないような手応えでAAくれた。大好きおじちゃん。
,ビンセント,英語C,,2019年09月03日,やや仏,,なし,あり,出席が25%、授業への参加意欲が25%、テストが17%、小テストが17%、課題提出が17%っていう評価方法。毎回リスニングの課題が出た。そんなに時間はかからない課題だった。テストは中学生でもできる問題だった。
,市毛,スポーツA,,2019年09月03日,仏,,なし,あり,持ち点が100点あって１回休むごとに10点マイナスされていくらしい。スポーツAはAかDしか取れないみたいな噂があったけどちゃんとAA取れました。今年は出なかったけどレポートが出る年もあったみたいです。あと、先生は手際が悪いので準備体操とか出席確認で30分くらい要します。
,岡部,解析学B,,2019年09月03日,並,,あり,なし,出席取らないよ。授業はめっちゃわかりやすいよ。テストは中間と期末の2回だよ。問題の大半は授業中に取り扱った問題の類題だったよ。中間テストの後に任意のレポートが出されたよ。レポート内容は中間テストで間違えた問題のやり直しで、やり直したものが合ってれば落とした点数の半分を中間テストの点数に加点してくれるものだったよ。(合ってなかったら加点はしてくれないよ) 中間テストの平均点が50点ちょっとぐらいだったから大半の人はレポートを出してたと思うよ。素晴らしい教授だと思うので、この教授の授業を受けることになった人は頑張ろう！
,東北大学,工学部建築,,2019年09月01日,,,,,偏差値57.5から60.0になったな。これで農学部よりはマシになったようだ
,高橋大厚,英語A,,2019年08月30日,ど仏,,なし,あり,毎回の単語テストと期末試験で成績が決まる。ISTUで配布された長文について毎回の講義が行われるが、その場で訳せる程度の簡単なものなので単語以外の予習は特に必要ない。毎回サボらず出席すればAAは余裕。（再履クラスだったので周りのレベルが激低、自分も再履だけど）
,田中　雅臣,物理学概論,,2019年08月28日,やや仏,,あり,あり,１４回の講義のうち、任意の３講義のレポートを書くだけで浮く講義。レポートを選べば、とても簡単である。
,柏木　茂,物理学Ｃ,,2019年08月28日,並,,なし,あり,マクスウェル方程式に関して行う講義。テストの難易度は全体として高くも低くもないため、演習をしっかりこなしておくことをお勧めする。
,猪俣,数理情報学演習,,2019年08月28日,ど鬼,,あり,あり,しっかり課題出しても適当に評価される。殺意が湧きかけました。
,橘 由加,英語C,,2019年08月28日,仏,,あり,あり,先生が休みがちという情報を信じて受講したらまさかの全出席(先生が)で普通に英語力がついてしまった回
,尾畑,数理統計学,,2019年08月28日,ど仏,,なし,あり,出席30期末70。期末で体感1割くらしか解けなかったので120%落としたと思ったけどなぜか浮いた。神様仏様尾畑様。
,此木敬一,物理化学,,2019年08月27日,,,あり,なし,授業中の私語・ケータイいじりに厳しい(「外に出てやってください」など注意される)ので気難しい先生かと思ったが、真面目に受講している人のためだろう。ミニペの質問に一つ一つ回答して下さったり、2回あるレポートを出してればテスト点が悪くても浮かせてくれたり、優しい先生である。内容はイマイチよくわからなかったが意欲的に学ぼうと思えば応えて下さると思う。
,加藤　雄人 他,地球惑星物理学,,2019年08月27日,並,,時々あり,あり,三名の教授の講義であり、話が面白いいい教授もいれば、どうでもいい話を延々と続ける教授もいた。単位の取りやすさは不明である。
,齊藤　国靖,数理統計学,,2019年08月27日,仏,,なし,なし,高校の先生と同じような授業の進め方をする。最初の５分は前回の講義の復習を行うし、行った授業の板書内容を切りのいいところで配るなど、仏の要素が盛りだくさん。しかも、数Bの最後でやった内容がほぼそのままであるから、内容的にも難しいところは存在しない。テストも、講義中の例題から出るというとても緩いものであった。
,大槻　幸義,専門基礎化学Ⅰ,,2019年08月27日,やや仏,,あり,あり,量子化学の基本であるシュレディンガー方程式を行うものです。標準的な数学と物理の知識があれば、この教授の授業を受けることで何の問題もなく、りかいできるようになると思います。毎章終了後にレポートとして、教科書の問題を解きますが、内容を理解していれば、９０分もかからないです。テストは過去問に頼らないほうがいいでしょう。
,金丸　芙美,英語Ｃ１（理）,,2019年08月27日,並,,時々あり,あり,非常にためになる講義を行う良い教授という一言である。さかなくてはいけない時間は多いが、それ以上にこれからの理系人生においてためになる講義であるだろう。
,岩成　勇,解析学Ｄ,,2019年08月27日,やや鬼,,なし,なし,出席がなく、テスト問題の難易度も毎週のように復習していないと厳しいものであると思われる。逆に、毎週のように復習し、過去問や教科書を集中的に行えば、行っていない問題は出ないため、非常に良い点が取れるであろう。講義はわかりにくいうえにテストとほぼ関係がないため、問題演習をしっかりと行おう。
,柏木茂,物理学C,,2019年08月27日,ど仏,,なし,あり,演習問題とその解答を持ち込める試験で演習問題がほとんどそのまま出題された 授業の大半を寝ていた俺だが何も苦労することなく単位は浮いてしまったのであった
,座小田豊,思想と倫理の世界,,2019年08月27日,ど仏,,なし,あり,期末試験の問題を試験前の講義のなかで教えてくれる優しい先生でした
,伏見岳人,日本政治外交史Ⅰ,,2019年08月27日,並,,時々あり,なし,読書レポート2つと期末試験によって成績がつく。前者は全体で3回あるがその中から2つを選んで書くものである。例年2回目のレポートは難しいので必ず1回目のレポートは取り組むようにしよう。評価については1割は落とすと明言される。焦るところではあるが全ての授業に出てしっかりと話を聞いていれば単位はもらえるだろう(法学部は授業に出ない人もいる)。しかし良い成績がほしいなら常々自習をするべきである。
,水野紀子,民事法入門,,2019年08月27日,仏,,なし,なし,数々の法律の作成に関わった権威のある先生。先生は非常に優しくおだやかでファンも多い。この講義は先生にとって最後の授業であったためこの鬼仏表を見ている人には関係ないかもしれないが先生が授業をしていた証としてコメントを残しておこうと思う。最後の講義は「死」について扱うものであった。本人曰く「最後に死について扱うのもいいかな」とのこと。有名な自衛隊合祀に関するものなどを扱った。最後の言葉は「みなさんの人生に幸あれ」。
,渡部学,英語B,,2019年08月27日,仏,,なし,あり,パソコンを使って先生オリジナルの教材を使用する授業。先生はとても優しいためパソコンが苦手な人でも不利になることはない。授業に出てそれなりに勉強していれば問題ない。
,英語C1,平塚,,2019年08月27日,ど仏,,なし,あり,出席点50テスト50（中間20期末30）授業内容は教科書に関連したトピックについて学生同士で英語で話し合うだけ。議論というより雑談なので、コミュ障にとっては辛いかも。テストは簡単なので誰でも単位は取れます。
,和田裕一,心理学,,2019年08月27日,ど仏,,なし,あり,毎回の授業で出席を取られるが、今年から(？)グーグルフォームで1週間以内に回答する形式になったのでゆるゆる(そのリンクは行かないとわからないが、友達とかに頼めば余裕)。レジュメもしっかりしてるし、先生の話も面白いので、話が入ってきやすいし聞いていて全く損じゃないが、もしも授業中に催眠術にかかってしまった人がいたとしても出欠オンラインテストは余裕で答えられる神システム。期末は大量の回答群から答えを埋めるタイプの穴埋め問題+予告問題1問で、穴埋めは2、3周レジュメ読んでくれば解けるレベルだし、予告問題は考えてきたもの書くだけでこれもヌルゲーなので、これで落とした人は義務教育からやり直してどうぞ。
,高橋征司,化学B,,2019年08月27日,仏,,なし,あり,授業はそこそこ骨のある内容だが、毎回講義終わりに出される演習問題は公式当てはめゲーだし、友達と相談もできるのでいける。そしてなんといってもテストA4一枚持ち込み可で、テストの7割は毎授業の演習問題とほぼ同じのを出しますと宣言したものの、実際9割ぐらいが演習の数字替えというこのブッダっぷり。毎授業の演習問題と答えを細かい字で全部A4に写したもん勝ちなのでカンペは用意しよう。ちなみに演習問題どおりじゃない残りの1割の問題は、「熱力学第一法則を説明せよ。」でした。
,橘由加,英語C1,,2019年08月27日,ど仏,,なし,あり,授業を休みまくるという噂があった()が、今年は心機一転したのか(たちゆかが)全出席していた。毎回リンクイングリッシュのレッスン1個丸々家でやってきて、次の授業の頭でその章のレッスンのテスト(こちらもオンライン)をやり、残った時間で簡単なアクティビティをやる形式だった。先輩か友達でリンク受けたことがある人がいるんだったら受けるべき(察)
,船野敬,解析学C,,2019年08月27日,並,,時々あり,なし,理数系科目なのに出席なし、テスト1発の珍しい授業。1限だからというのもあるが、毎授業毎に出席者数は減っていき、最後の方は2割居るか居ないかぐらいだった。ただし、10点追加用レポというおいしいものがどっかの授業で配られるため出席しておいた方が吉。今年は2回割と前半の方の授業で配られた(おそらく5点×2)。授業は実戦ベースなためわかりやすいが、テストは意外と難しいので注意。なおテストは教科書・ノート持ち込み可。ユルい。テストの手ごたえはあまりなかったが、なんかAついたので、相対評価で来てない人が成績押し上げてくれたのかもしれない。みんなありがとう♡
,古谷,経済学入門A,,2019年08月26日,やや仏,,時々あり,なし,見た目おしゃれな先生。帰国子女なので、ルー大柴みたいな言葉遣いをする。いけめん
,山内玲,英語A,,2019年08月25日,ど鬼,,なし,あり,この授業に当たってしまった人はかなりの覚悟が必要。他のクラスとの難易度の差に怒りを覚えることもあるだろう。しかし、履修放棄をするのはまだ早い。授業開始テストや救済措置としてとられる課題などをしっかりこなしていけば単位をもらえる可能性は十分残されている。基本、全学教育において単位を落とすことは先生も望んでいないのでむやみやたらに焦ることはない。自分にとって救いだったのはグループワークが多かったこと。これのおかげで授業に来るモチベーションが保たれたといって過言ではない。同じグループになった人はいわば運命共同体なのでしっかり仲良くなって絆を深めてみんなで浮けるように協力しよう。これを見ている君の健闘を祈る。
,小泉英介,情報基礎A,,2019年08月25日,並,,あり,あり,パソコンが苦手な人も授業を聞いていれば大丈夫。ただし意外に評価はまっとうにつけるので高成績をとる場合は少し頑張る必要があるかも。
,池田 オムニバス,学生生活概論,,2019年08月25日,ど仏,,なし,あり,新入生特別セミナーの延長みたいな感じ。これから学生生活を送る上で有益ではあるので授業はしっかり聞こう。5限ではあるが1クォーターで終わるので受けておこう。
,境田太樹 浅海竜司,地球環境科学概論,,2019年08月25日,仏,,あり,あり,前半は境田先生。授業中は先生がした語句＋自らが気になった語句の3~4つについて気づいたことを配られた紙に書いて提出する。これが出席の代わり。前半終了のときにレポートを1つ提出する。興羽は浅海先生。授業中はただ聞いているだけで良い。受講生が多いため映画館のような教室でプロジェクターを使うため部屋が暗くなる。最後にテストがあるが事前に予告されるため単位を落とすことは無い。先生は「めちゃめちゃ簡単だから」と何度も言うが、そこまで簡単というわけでもないのでやや注意が必要。
,日出間純 などオムニバス,生命科学概論,,2019年08月25日,ど仏,,あり,あり,1人の講師が原則2週にわたって講義をするオムニバス形式。異なる2人の講師の授業を選んで7月末までにレポートを2つ提出ことで成績がつく。文系向けの授業ということで難解な話は出ないし、テストもないから暗記することもない。レポートは授業に関係することであれば社会科学系のものでもOK。図書館にいって複数の文献を読んで書けばAAは間違いないし、自らの知識を増やすこともできるだろう。
,辻本昌弘,心理学,,2019年08月25日,やや仏,,なし,なし,全学教育では珍しい(？)出席をとらずテスト一発勝負の授業。テストは講義を聞いていれば普通に解ける問題で、何となくここが出そうだなというのもわかるので心配する必要はない。先生は関西弁ということもありとても話が上手で頭にも入ってきやすい。教科書は数ヶ月しか使わないことを考えるとやや高いので上手に手に入れると良い。
,佐藤克美,教育学,,2019年08月25日,ど仏,,あり,あり,1回目の授業で「全部出席し、レポートも全て出せば落とすことはありません」と宣言された。レポートは数回あるが、いずれも決して難しいものではない。内容は「ザ・教育学」というものではなくICTの活用についてを軸に教育全体を見ていくもの。教育に少しでも興味がある人は受けてみると面白いと思う。
,中川学,人間と文化,,2019年08月25日,仏,,あり,あり,東北大学の歴史を学ぶ授業。歴史といっても暗記することは1つもない。先生は東北大学100年史をまとめた1人ということもあって詳しく教えてくれるうえに、普通に過ごしていたら知らないまま卒業してしまいそうな裏(?)の話もしてくれる。東北大学生なら自校の歴史的は知っておくべきだし、ぜひ受けてほしいと思う。何より講義の内容が面白いのでためになるし、つい他の人に話したくなってしまう。
,三石　長谷川,情報基礎A,,2019年08月25日,並,,あり,あり,三石先生はネットの使用法に関する授業。レポート課題はネット社会についてテーマを一つ選んで論じるものだった。評価は厳しめ。長谷川先生はC言語に関する授業で苦手な人にとっては地獄。レポート課題も独力ではかなり厳しい。こちらに関してはAAはとりやすい。
,酒井寿郎,体と健康,,2019年08月25日,ど仏,,なし,あり,出席してミニットペーパー埋めればAA確定
